"#","Date (UTC)","Time (UTC)","Solar Array 1A - Drive Voltage (V)","Solar Array 1A - Drive Current (A)","Solar Array 1A - BGA Position (degrees)","Solar Array 1B - Drive Voltage (V)","Solar Array 1B - Drive Current (A)","Solar Array 1B - BGA Position (degrees)","Solar Array 2A - Drive Voltage (V)","Solar Array 2A - Drive Current (A)","Solar Array 2A - BGA Position (degrees)","Solar Array 2B - DDrive Voltage (V)","Solar Array 2B - DDrive Current (A)","Solar Array 2B - DBGA Position (degrees)","Solar Array 3A - Drive Voltage (V)","Solar Array 3A - Drive Current (A)","Solar Array 3A - BGA Position (degrees)","Solar Array 3B - Drive Voltage (V)","Solar Array 3B - Drive Current (A)","Solar Array 3B - BGA Position (degrees)","Solar Array 4A - Drive Voltage (V)","Solar Array 4A - Drive Current (A)","Solar Array 4A - BGA Position (degrees)","Solar Array 4B - DDrive Voltage (V)","Solar Array 4B - DDrive Current (A)","Solar Array 4B - DBGA Position (degrees)","Starboard Joint Angle Position (degrees)","Port Joint Angle Position (degrees)"
"LIVE","7/22/2016","20:44:46","160.0634765625","-49.6076452454845","354.776000976563","159.4482421875","-45.7759238778278","315.230712890625","158.4228515625","-56.8114591689569","134.989013671875","159.9609375","-47.8253490392239","184.603271484375","159.0380859375","-37.9515030152615","5.240478515625","160.37109375","-33.4186368118412","24.76318359375","159.0380859375","-44.9375215655966","206.185913085938","159.345703125","-50.6555535217522","185.630493164063","42.6302032470703","317.64501953125"
"1","7/22/2016","20:28:11","159.755859375","-49.034674940134","359.467163085938","160.4736328125","-48.1168945160116","310.599975585938","159.345703125","-56.96819269024","130.676879882813","159.0380859375","-47.5393461128513","189.706420898438","160.166015625","-38.1233220781278","0.889892578125","161.19140625","-34.795191469547","29.432373046875","159.0380859375","-46.8908799225523","209.371948242188","151.7578125","-53.6764754549055","180.379028320313","336.294738769531","23.9529838562012"
"2","7/22/2016","20:28:21","159.755859375","-49.2074096225623","359.329833984375","160.576171875","-45.6743145229723","310.709838867188","159.4482421875","-56.8043295446345","130.676879882813","159.0380859375","-47.4000498568257","189.706420898438","160.166015625","-38.1086965816582","0.911865234375","161.0888671875","-34.5589249977798","29.4268798828125","159.2431640625","-44.3694833976198","209.349975585938","151.7578125","-53.5843641269727","180.401000976563","336.931945800781","23.3212699890137"
"3","7/22/2016","20:28:31","159.755859375","-49.2195568420842","359.291381835938","160.576171875","-44.9186231778378","310.786743164063","159.55078125","-56.7456566431043","130.682373046875","159.140625","-47.17454553344","189.706420898438","160.166015625","-38.1083425420942","0.9173583984375","161.19140625","-34.34472676672","29.3994140625","159.2431640625","-43.6131572229223","209.322509765625","151.7578125","-53.5698362965897","180.499877929688","337.552673339844","22.7005424499512"
"4","7/22/2016","20:28:41","159.755859375","-49.2228042394639","359.2529296875","160.576171875","-44.7631753927393","310.8251953125","159.55078125","-56.4656968058406","130.682373046875","159.2431640625","-47.726510959576","189.700927734375","160.166015625","-37.8790347789979","0.9173583984375","161.19140625","-34.3725903127913","29.300537109375","159.2431640625","-43.46215273568","209.3115234375","151.7578125","-53.5614003883588","180.917358398438","338.184387207031","22.0633354187012"
"5","7/22/2016","20:28:51","159.755859375","-48.6930511774377","359.14306640625","160.576171875","-44.4089527048705","310.841674804688","159.55078125","-56.5510447572757","130.687866210938","159.2431640625","-48.0335853441344","189.700927734375","160.2685546875","-37.5574447723172","0.9173583984375","161.19140625","-34.6525867748375","29.212646484375","159.140625","-43.1681783240724","209.306030273438","151.7578125","-53.4716330465047","181.395263671875","338.827087402344","21.4316215515137"
"6","7/22/2016","20:29:01","159.8583984375","-48.4534457463346","359.093627929688","160.576171875","-44.3520988342034","310.863647460938","159.6533203125","-56.8065148233223","130.687866210938","159.2431640625","-48.3104076583658","189.700927734375","160.37109375","-37.4165370258626","0.9283447265625","161.19140625","-34.6975986325033","29.058837890625","159.0380859375","-43.1895183639964","209.295043945313","151.7578125","-53.4333235240324","181.42822265625","339.453308105469","20.8108940124512"
"7","7/22/2016","20:29:11","159.8583984375","-48.4191222210221","359.093627929688","160.576171875","-44.3238733351735","310.874633789063","159.6533203125","-57.06998130021","130.687866210938","159.2431640625","-48.3386087408741","189.700927734375","160.37109375","-37.3834404307631","0.9228515625","161.0888671875","-34.8718227227523","29.0533447265625","159.0380859375","-43.2316124473247","209.168701171875","151.7578125","-53.5062556742074","181.422729492188","340.085021972656","20.1736869812012"
"8","7/22/2016","20:29:21","159.8583984375","-49.0874756682068","359.088134765625","160.576171875","-44.3117993652165","310.902099609375","159.55078125","-57.6113932513251","130.698852539063","159.4482421875","-47.9173382845485","189.695434570313","160.37109375","-37.4004831628763","0.9173583984375","161.0888671875","-34.88686330009","29.0423583984375","158.935546875","-43.245493239884","209.058837890625","151.7578125","-53.5943871091109","181.417236328125","340.727722167969","19.5309867858887"
"9","7/22/2016","20:29:31","159.8583984375","-49.15668806752","359.082641601563","160.576171875","-44.3123609452145","310.946044921875","159.55078125","-57.5637444093209","130.71533203125","159.4482421875","-47.9568808413641","189.684448242188","160.2685546875","-37.4424185388139","0.9228515625","161.0888671875","-34.6118600167217","29.0093994140625","158.8330078125","-43.2582020394039","209.053344726563","151.7578125","-53.5347253384538","181.417236328125","341.364929199219","18.9102592468262"
